9 14 20 22 -> 17 fr=5 (0.1000), cf=1.000, gamma=6.250, delta=0.084, M=-1.054e+01
0 13 22 -> 40 fr=17 (0.3400), cf=0.739, gamma=1.760, delta=0.147, M=-1.049e+01
45 90 -> 61 fr=6 (0.1200), cf=1.000, gamma=4.545, delta=0.094, M=-1.045e+01
45 91 -> 61 fr=6 (0.1200), cf=1.000, gamma=4.545, delta=0.094, M=-1.045e+01
45 46 -> 11 fr=15 (0.3000), cf=0.682, gamma=1.894, delta=0.142, M=-1.033e+01
0 11 45 -> 40 fr=10 (0.2000), cf=1.000, gamma=2.381, delta=0.116, M=-1.028e+01
13 20 46 -> 40 fr=10 (0.2000), cf=1.000, gamma=2.381, delta=0.116, M=-1.028e+01
6 13 45 46 -> 40 fr=10 (0.2000), cf=1.000, gamma=2.381, delta=0.116, M=-1.028e+01
4 13 45 46 -> 40 fr=10 (0.2000), cf=1.000, gamma=2.381, delta=0.116, M=-1.028e+01
4 -> 0 fr=36 (0.7200), cf=0.947, gamma=1.184, delta=0.112, M=-1.027e+01
1 9 -> 23 fr=8 (0.1600), cf=0.667, gamma=3.333, delta=0.112, M=-1.027e+01
1 47 -> 76 fr=8 (0.1600), cf=0.800, gamma=3.333, delta=0.112, M=-1.027e+01
6 19 -> 21 fr=6 (0.1200), cf=0.667, gamma=4.762, delta=0.095, M=-1.026e+01
9 20 -> 21 fr=6 (0.1200), cf=0.667, gamma=4.762, delta=0.095, M=-1.026e+01
4 22 90 -> 105 fr=6 (0.1200), cf=0.857, gamma=4.762, delta=0.095, M=-1.026e+01
6 7 46 -> 79 fr=6 (0.1200), cf=0.857, gamma=4.762, delta=0.095, M=-1.026e+01
4 7 46 -> 79 fr=6 (0.1200), cf=0.857, gamma=4.762, delta=0.095, M=-1.026e+01
0 7 46 -> 79 fr=6 (0.1200), cf=0.857, gamma=4.762, delta=0.095, M=-1.026e+01
1 4 50 -> 79 fr=6 (0.1200), cf=0.857, gamma=4.762, delta=0.095, M=-1.026e+01
0 1 50 -> 79 fr=6 (0.1200), cf=0.857, gamma=4.762, delta=0.095, M=-1.026e+01
6 40 48 -> 39 fr=6 (0.1200), cf=0.857, gamma=4.762, delta=0.095, M=-1.026e+01
4 40 48 -> 39 fr=6 (0.1200), cf=0.857, gamma=4.762, delta=0.095, M=-1.026e+01
105 -> 91 fr=7 (0.1400), cf=0.778, gamma=3.889, delta=0.104, M=-1.018e+01
3 61 -> 91 fr=7 (0.1400), cf=0.778, gamma=3.889, delta=0.104, M=-1.018e+01
9 20 -> 19 fr=7 (0.1400), cf=0.778, gamma=3.889, delta=0.104, M=-1.018e+01
0 45 46 -> 40 fr=13 (0.2600), cf=0.867, gamma=2.063, delta=0.134, M=-1.017e+01
6 7 -> 9 fr=10 (0.2000), cf=0.833, gamma=2.604, delta=0.123, M=-1.017e+01
4 7 -> 9 fr=10 (0.2000), cf=0.833, gamma=2.604, delta=0.123, M=-1.017e+01
0 7 -> 9 fr=10 (0.2000), cf=0.833, gamma=2.604, delta=0.123, M=-1.017e+01
3 45 46 50 -> 74 fr=8 (0.1600), cf=0.727, gamma=3.306, delta=0.112, M=-1.009e+01
1 50 -> 79 fr=8 (0.1600), cf=0.571, gamma=3.175, delta=0.110, M=-1.003e+01
13 46 -> 40 fr=15 (0.3000), cf=0.789, gamma=1.880, delta=0.140, M=-1.001e+01
3 6 46 -> 63 fr=8 (0.1600), cf=0.471, gamma=2.941, delta=0.106, M=-1.000e+01
0 13 45 -> 40 fr=14 (0.2800), cf=0.824, gamma=1.961, delta=0.137, M=-9.999e+00
0 13 38 -> 40 fr=14 (0.2800), cf=0.824, gamma=1.961, delta=0.137, M=-9.999e+00
3 4 14 38 46 -> 63 fr=6 (0.1200), cf=0.750, gamma=4.688, delta=0.094, M=-9.997e+00
6 14 45 -> 60 fr=11 (0.2200), cf=0.846, gamma=2.350, delta=0.126, M=-9.983e+00
4 14 45 -> 60 fr=11 (0.2200), cf=0.846, gamma=2.350, delta=0.126, M=-9.983e+00
